@relation BasicAgentAAtraining-data

@attribute xPacmanPosition NUMERIC
@attribute yPacmanPosition NUMERIC
@attribute ghostPosition1x NUMERIC
@attribute ghostPosition1y NUMERIC
@attribute ghostPosition2x NUMERIC
@attribute ghostPosition2y NUMERIC
@attribute ghostPosition3x NUMERIC
@attribute ghostPosition3y NUMERIC
@attribute ghostPosition4x NUMERIC
@attribute ghostPosition4y NUMERIC
@attribute distanceGhost1 NUMERIC
@attribute distanceGhost2 NUMERIC
@attribute distanceGhost3 NUMERIC
@attribute distanceGhost4 NUMERIC
@attribute validActions{1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute lastAction{Stop,South,North,West,East}
@attribute aliveGhost{1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute score NUMERIC
@attribute minimap1 {W,E,G}
@attribute minimap2 {W,E,G}
@attribute minimap3 {W,E,G}
@attribute minimap4 {W,E,G}
@attribute minimap5 {W,E,G}
@attribute minimap6 {W,E,G}
@attribute minimap7 {W,E,G}
@attribute minimap8 {W,E,G}
@attribute minimap9 {W,E,G}
@attribute minimap10 {W,E,G}
@attribute minimap11 {W,E,G}
@attribute minimap12 {W,E,G}
@attribute minimap13 {W,E,G}
@attribute minimap14 {W,E,G}
@attribute minimap15 {W,E,G}
@attribute minimap16 {W,E,G}
@attribute minimap17 {W,E,G}
@attribute minimap18 {W,E,G}
@attribute minimap19 {W,E,G}
@attribute minimap20 {W,E,G}
@attribute minimap21 {W,E,G}
@attribute minimap22 {W,E,G}
@attribute minimap23 {W,E,G}
@attribute minimap24 {W,E,G}
@attribute minimap25 {W,E,G}
@attribute nearestDot NUMERIC
@attribute action{Stop,South,North,West,East}
@attribute nextScore NUMERIC

@data
8,7,5,9,11,3,17,6,25,7,5,7,10,17,1111,Stop,0,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,-1
8,8,5,9,11,3,17,6,25,7,4,8,11,18,1111,North,0,-1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,-2
8,9,5,9,11,3,17,6,25,7,3,9,12,19,1111,North,0,-2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,-3
7,9,5,9,11,3,17,6,25,7,2,10,13,20,1111,West,0,-3,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,-4
6,9,5,9,11,3,17,6,25,7,1,11,14,21,1111,West,0,-4,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,195
5,9,1,1,11,3,17,6,25,7,1000,12,15,22,1111,West,1000,195,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,194
5,8,1,1,11,3,17,6,25,7,1000,11,14,21,1111,South,1000,194,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,193
6,8,1,1,11,3,17,6,25,7,1000,10,13,20,1111,East,1000,193,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,192
7,8,1,1,11,3,17,6,25,7,1000,9,12,19,1111,East,1000,192,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,191
8,8,1,1,11,3,17,6,25,7,1000,8,11,18,1111,East,1000,191,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,190
9,8,1,1,11,3,17,6,25,7,1000,7,10,17,1111,East,1000,190,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,189
10,8,1,1,11,3,17,6,25,7,1000,6,9,16,1111,East,1000,189,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,188
11,8,1,1,11,3,17,6,25,7,1000,5,8,15,1111,East,1000,188,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,187
11,7,1,1,11,3,17,6,25,7,1000,4,7,14,1111,South,1000,187,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,186
11,6,1,1,11,3,17,6,25,7,1000,3,6,15,1111,South,1000,186,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,185
11,5,1,1,11,3,17,6,25,7,1000,2,7,16,1111,South,1000,185,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,184
11,4,1,1,11,3,17,6,25,7,1000,1,8,17,1111,South,1000,184,W,W,W,W,W,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,383
11,3,1,1,3,1,17,6,25,7,1000,1000,9,18,1011,South,1100,383,E,W,E,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,382
12,3,1,1,3,1,17,6,25,7,1000,1000,8,17,1011,East,1100,382,W,E,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,381
13,3,1,1,3,1,17,6,25,7,1000,1000,7,16,1011,East,1100,381,E,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,380
14,3,1,1,3,1,17,6,25,7,1000,1000,6,15,1011,East,1100,380,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,379
14,4,1,1,3,1,17,6,25,7,1000,1000,5,14,1111,North,1100,379,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,378
15,4,1,1,3,1,17,6,25,7,1000,1000,4,13,1111,East,1100,378,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,None,North,377
15,5,1,1,3,1,17,6,25,7,1000,1000,3,12,1111,North,1100,377,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,None,East,376
16,5,1,1,3,1,17,6,25,7,1000,1000,2,11,1111,East,1100,376,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,None,North,375
16,6,1,1,3,1,17,6,25,7,1000,1000,1,10,1111,North,1100,375,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,None,East,574
17,6,1,1,3,1,5,1,25,7,1000,1000,1000,9,1111,East,1110,574,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,573
18,6,1,1,3,1,5,1,25,7,1000,1000,1000,8,1111,East,1110,573,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,572
19,6,1,1,3,1,5,1,25,7,1000,1000,1000,7,1111,East,1110,572,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,571
20,6,1,1,3,1,5,1,25,7,1000,1000,1000,6,1111,East,1110,571,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,570
21,6,1,1,3,1,5,1,25,7,1000,1000,1000,5,1111,East,1110,570,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,569
22,6,1,1,3,1,5,1,25,7,1000,1000,1000,4,1111,East,1110,569,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,568
23,6,1,1,3,1,5,1,25,7,1000,1000,1000,3,1111,East,1110,568,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,None,East,567
24,6,1,1,3,1,5,1,25,7,1000,1000,1000,2,1111,East,1110,567,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,None,North,566
1,18,5,9,11,3,17,6,25,7,13,25,28,35,110,Stop,0,0,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,W,W,W,W,W,W,W,W,None,East,-1
2,18,5,9,11,3,17,6,25,7,12,24,27,34,111,East,0,-1,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,W,W,W,W,W,W,W,W,W,None,East,-2
3,18,5,9,11,3,17,6,25,7,11,23,26,33,111,East,0,-2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,None,East,-3
4,18,5,9,11,3,17,6,25,7,10,22,25,32,111,East,0,-3,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,None,East,-4
5,18,5,9,11,3,17,6,25,7,9,21,24,31,111,East,0,-4,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,None,South,-5
5,17,5,9,11,3,17,6,25,7,8,20,23,30,1111,South,0,-5,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,South,-6
5,16,5,9,11,3,17,6,25,7,7,19,22,29,1111,South,0,-6,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,-7
5,15,5,9,11,3,17,6,25,7,6,18,21,28,1111,South,0,-7,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,-8
5,14,5,9,11,3,17,6,25,7,5,17,20,27,1111,South,0,-8,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,-9
5,13,5,9,11,3,17,6,25,7,4,16,19,26,1111,South,0,-9,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,-10
5,12,5,9,11,3,17,6,25,7,3,15,18,25,1111,South,0,-10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,-11
5,11,5,9,11,3,17,6,25,7,2,14,17,24,1111,South,0,-11,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,-12
5,10,5,9,11,3,17,6,25,7,1,13,16,23,1111,South,0,-12,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,187
5,9,1,1,11,3,17,6,25,7,1000,12,15,22,1111,South,1000,187,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,186
