@relation BustersKeyboardAgenttraining-data-weka.filters.unsupervised.attribute.Remove-R44-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C16-L1

@attribute xPacmanPosition numeric
@attribute yPacmanPosition numeric
@attribute ghostPosition1x numeric
@attribute ghostPosition1y numeric
@attribute ghostPosition2x numeric
@attribute ghostPosition2y numeric
@attribute ghostPosition3x numeric
@attribute ghostPosition3y numeric
@attribute ghostPosition4x numeric
@attribute ghostPosition4y numeric
@attribute distanceGhost1 numeric
@attribute distanceGhost2 numeric
@attribute distanceGhost3 numeric
@attribute distanceGhost4 numeric
@attribute validActions {1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute lastAction {Stop,South,North,West,East}
@attribute aliveGhost {1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute minimap1 {W,E,G}
@attribute minimap2 {W,E,G}
@attribute minimap3 {W,E,G}
@attribute minimap4 {W,E,G}
@attribute minimap5 {W,E,G}
@attribute minimap6 {W,E,G}
@attribute minimap7 {W,E,G}
@attribute minimap8 {W,E,G}
@attribute minimap9 {W,E,G}
@attribute minimap10 {W,E,G}
@attribute minimap11 {W,E,G}
@attribute minimap12 {W,E,G}
@attribute minimap13 {W,E,G}
@attribute minimap14 {W,E,G}
@attribute minimap15 {W,E,G}
@attribute minimap16 {W,E,G}
@attribute minimap17 {W,E,G}
@attribute minimap18 {W,E,G}
@attribute minimap19 {W,E,G}
@attribute minimap20 {W,E,G}
@attribute minimap21 {W,E,G}
@attribute minimap22 {W,E,G}
@attribute minimap23 {W,E,G}
@attribute minimap24 {W,E,G}
@attribute minimap25 {W,E,G}
@attribute action {Stop,South,North,West,East}

@data
7,7,5,9,11,3,17,6,25,7,4,8,11,18,1111,West,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,West
6,7,5,9,11,3,17,6,25,7,3,9,12,19,1111,West,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,West
5,7,5,9,11,3,17,6,25,7,2,10,13,20,1111,West,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,North
5,8,5,9,11,3,17,6,25,7,1,11,14,21,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,North
5,9,1,1,11,3,17,6,25,7,1000,12,15,22,1111,North,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
5,8,1,1,11,3,17,6,25,7,1000,11,14,21,1111,South,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
5,7,1,1,11,3,17,6,25,7,1000,10,13,20,1111,South,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
5,6,1,1,11,3,17,6,25,7,1000,9,12,21,1111,South,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
5,5,1,1,11,3,17,6,25,7,1000,8,13,22,1111,South,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
5,4,1,1,11,3,17,6,25,7,1000,7,14,23,1111,South,1000,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
5,3,1,1,11,3,17,6,25,7,1000,6,15,24,1011,South,1000,E,W,E,W,E,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
6,3,1,1,11,3,17,6,25,7,1000,5,14,23,1011,East,1000,W,E,W,E,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
7,3,1,1,11,3,17,6,25,7,1000,4,13,22,1011,East,1000,E,W,E,W,E,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
8,3,1,1,11,3,17,6,25,7,1000,3,12,21,1011,East,1000,W,E,W,E,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
9,3,1,1,11,3,17,6,25,7,1000,2,11,20,1011,East,1000,E,W,E,W,E,W,W,W,W,W,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,East
10,3,1,1,11,3,17,6,25,7,1000,1,10,19,1011,East,1000,W,E,W,E,W,W,W,W,W,W,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,East
11,3,1,1,3,1,17,6,25,7,1000,1000,9,18,1011,East,1100,E,W,E,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
12,3,1,1,3,1,17,6,25,7,1000,1000,8,17,1011,East,1100,W,E,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
12,4,1,1,3,1,17,6,25,7,1000,1000,7,16,1111,North,1100,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
12,5,1,1,3,1,17,6,25,7,1000,1000,6,15,1111,North,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
12,6,1,1,3,1,17,6,25,7,1000,1000,5,14,1111,North,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
13,6,1,1,3,1,17,6,25,7,1000,1000,4,13,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
14,6,1,1,3,1,17,6,25,7,1000,1000,3,12,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
15,6,1,1,3,1,17,6,25,7,1000,1000,2,11,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,East
16,6,1,1,3,1,17,6,25,7,1000,1000,1,10,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,East
17,6,1,1,3,1,5,1,25,7,1000,1000,1000,9,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
18,6,1,1,3,1,5,1,25,7,1000,1000,1000,8,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
19,6,1,1,3,1,5,1,25,7,1000,1000,1000,7,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
19,7,1,1,3,1,5,1,25,7,1000,1000,1000,6,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
19,8,1,1,3,1,5,1,25,7,1000,1000,1000,7,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
20,8,1,1,3,1,5,1,25,7,1000,1000,1000,6,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
21,8,1,1,3,1,5,1,25,7,1000,1000,1000,5,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
22,8,1,1,3,1,5,1,25,7,1000,1000,1000,4,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
23,8,1,1,3,1,5,1,25,7,1000,1000,1000,3,1111,East,1110,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
24,8,1,1,3,1,5,1,25,7,1000,1000,1000,2,1111,East,1110,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
1,17,5,9,11,3,17,6,25,7,12,24,27,34,1110,South,0,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,W,W,W,South
1,16,5,9,11,3,17,6,25,7,11,23,26,33,1110,South,0,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,South
1,15,5,9,11,3,17,6,25,7,10,22,25,32,1110,South,0,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,South
1,14,5,9,11,3,17,6,25,7,9,21,24,31,1110,South,0,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,South
1,13,5,9,11,3,17,6,25,7,8,20,23,30,1110,South,0,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,South
1,12,5,9,11,3,17,6,25,7,7,19,22,29,1110,South,0,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,South
1,11,5,9,11,3,17,6,25,7,6,18,21,28,1110,South,0,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,South
1,10,5,9,11,3,17,6,25,7,5,17,20,27,1110,South,0,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,South
1,9,5,9,11,3,17,6,25,7,4,16,19,26,1110,South,0,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,East
2,9,5,9,11,3,17,6,25,7,3,15,18,25,1111,East,0,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,East
3,9,5,9,11,3,17,6,25,7,2,14,17,24,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,East
4,9,5,9,11,3,17,6,25,7,1,13,16,23,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,East
5,9,1,1,11,3,17,6,25,7,1000,12,15,22,1111,East,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
6,9,1,1,11,3,17,6,25,7,1000,11,14,21,1111,East,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
7,9,1,1,11,3,17,6,25,7,1000,10,13,20,1111,East,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
7,8,1,1,11,3,17,6,25,7,1000,9,12,19,1111,South,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
7,7,1,1,11,3,17,6,25,7,1000,8,11,18,1111,South,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
7,6,1,1,11,3,17,6,25,7,1000,7,10,19,1111,South,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
7,5,1,1,11,3,17,6,25,7,1000,6,11,20,1111,South,1000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
7,4,1,1,11,3,17,6,25,7,1000,5,12,21,1111,South,1000,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
7,3,1,1,11,3,17,6,25,7,1000,4,13,22,1011,South,1000,E,W,E,W,E,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
8,3,1,1,11,3,17,6,25,7,1000,3,12,21,1011,East,1000,W,E,W,E,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
9,3,1,1,11,3,17,6,25,7,1000,2,11,20,1011,East,1000,E,W,E,W,E,W,W,W,W,W,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,East
10,3,1,1,11,3,17,6,25,7,1000,1,10,19,1011,East,1000,W,E,W,E,W,W,W,W,W,W,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,East
11,3,1,1,3,1,17,6,25,7,1000,1000,9,18,1011,East,1100,E,W,E,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
12,3,1,1,3,1,17,6,25,7,1000,1000,8,17,1011,East,1100,W,E,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
12,4,1,1,3,1,17,6,25,7,1000,1000,7,16,1111,North,1100,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
12,5,1,1,3,1,17,6,25,7,1000,1000,6,15,1111,North,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
12,6,1,1,3,1,17,6,25,7,1000,1000,5,14,1111,North,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
13,6,1,1,3,1,17,6,25,7,1000,1000,4,13,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
14,6,1,1,3,1,17,6,25,7,1000,1000,3,12,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
15,6,1,1,3,1,17,6,25,7,1000,1000,2,11,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,East
16,6,1,1,3,1,17,6,25,7,1000,1000,1,10,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,East
17,6,1,1,3,1,5,1,25,7,1000,1000,1000,9,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
18,6,1,1,3,1,5,1,25,7,1000,1000,1000,8,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
18,7,1,1,3,1,5,1,25,7,1000,1000,1000,7,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
19,7,1,1,3,1,5,1,25,7,1000,1000,1000,6,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
20,7,1,1,3,1,5,1,25,7,1000,1000,1000,5,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
21,7,1,1,3,1,5,1,25,7,1000,1000,1000,4,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
22,7,1,1,3,1,5,1,25,7,1000,1000,1000,3,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
23,7,1,1,3,1,5,1,25,7,1000,1000,1000,2,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,East
15,12,5,14,13,5,18,18,25,6,12,9,9,16,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
15,13,4,14,12,5,19,18,25,6,12,11,9,18,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
15,14,4,14,12,5,20,18,25,5,11,12,9,19,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
15,15,5,14,12,4,20,18,25,5,11,14,8,21,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
15,16,6,14,12,4,20,18,26,5,11,15,7,23,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
15,17,6,15,12,4,20,17,26,4,11,16,5,25,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East
16,17,7,15,12,4,21,17,26,3,11,17,5,25,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East
17,17,6,15,12,4,21,17,27,3,13,18,4,23,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East
18,17,6,15,12,3,21,18,27,4,14,20,4,23,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East
19,17,7,15,12,3,21,18,28,4,14,21,3,21,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,W,W,W,W,W,East
20,17,7,15,12,4,21,17,27,4,15,21,1,21,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,W,W,W,W,W,East
