@relation BustersKeyboardAgenttraining-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C16-L1-weka.filters.unsupervised.attribute.Remove-R19-43-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.Remove-R15

@attribute xPacmanPosition numeric
@attribute yPacmanPosition numeric
@attribute ghostPosition1x numeric
@attribute ghostPosition1y numeric
@attribute ghostPosition2x numeric
@attribute ghostPosition2y numeric
@attribute ghostPosition3x numeric
@attribute ghostPosition3y numeric
@attribute ghostPosition4x numeric
@attribute ghostPosition4y numeric
@attribute distanceGhost1 numeric
@attribute distanceGhost2 numeric
@attribute distanceGhost3 numeric
@attribute distanceGhost4 numeric
@attribute score numeric
@attribute nearestDot numeric
@attribute nextScore numeric

@data
7,7,5,9,11,3,17,6,25,7,4,8,11,18,-7,9999,-8
6,7,5,9,11,3,17,6,25,7,3,9,12,19,-8,9999,-9
5,7,5,9,11,3,17,6,25,7,2,10,13,20,-9,9999,-10
5,8,5,9,11,3,17,6,25,7,1,11,14,21,-10,9999,189
5,9,1,1,11,3,17,6,25,7,1000,12,15,22,189,9999,188
6,9,1,1,11,3,17,6,25,7,1000,11,14,21,188,9999,187
7,9,1,1,11,3,17,6,25,7,1000,10,13,20,187,9999,186
8,9,1,1,11,3,17,6,25,7,1000,9,12,19,186,9999,185
8,8,1,1,11,3,17,6,25,7,1000,8,11,18,185,9999,184
8,7,1,1,11,3,17,6,25,7,1000,7,10,17,184,9999,183
8,6,1,1,11,3,17,6,25,7,1000,6,9,18,183,9999,182
8,5,1,1,11,3,17,6,25,7,1000,5,10,19,182,9999,181
8,4,1,1,11,3,17,6,25,7,1000,4,11,20,181,9999,180
8,3,1,1,11,3,17,6,25,7,1000,3,12,21,180,9999,179
9,3,1,1,11,3,17,6,25,7,1000,2,11,20,179,9999,178
10,3,1,1,11,3,17,6,25,7,1000,1,10,19,178,9999,377
11,3,1,1,3,1,17,6,25,7,1000,1000,9,18,377,9999,376
12,3,1,1,3,1,17,6,25,7,1000,1000,8,17,376,9999,375
12,4,1,1,3,1,17,6,25,7,1000,1000,7,16,375,9999,374
12,5,1,1,3,1,17,6,25,7,1000,1000,6,15,374,9999,373
12,6,1,1,3,1,17,6,25,7,1000,1000,5,14,373,9999,372
13,6,1,1,3,1,17,6,25,7,1000,1000,4,13,372,9999,371
14,6,1,1,3,1,17,6,25,7,1000,1000,3,12,371,9999,370
15,6,1,1,3,1,17,6,25,7,1000,1000,2,11,370,9999,369
16,6,1,1,3,1,17,6,25,7,1000,1000,1,10,369,9999,568
17,6,1,1,3,1,5,1,25,7,1000,1000,1000,9,568,9999,567
18,6,1,1,3,1,5,1,25,7,1000,1000,1000,8,567,9999,566
19,6,1,1,3,1,5,1,25,7,1000,1000,1000,7,566,9999,565
20,6,1,1,3,1,5,1,25,7,1000,1000,1000,6,565,9999,564
21,6,1,1,3,1,5,1,25,7,1000,1000,1000,5,564,9999,563
22,6,1,1,3,1,5,1,25,7,1000,1000,1000,4,563,9999,562
23,6,1,1,3,1,5,1,25,7,1000,1000,1000,3,562,9999,561
24,6,1,1,3,1,5,1,25,7,1000,1000,1000,2,561,9999,560
2,18,5,9,11,3,17,6,25,7,12,24,27,34,-4,9999,-5
3,18,5,9,11,3,17,6,25,7,11,23,26,33,-5,9999,-6
4,18,5,9,11,3,17,6,25,7,10,22,25,32,-6,9999,-7
4,17,5,9,11,3,17,6,25,7,9,21,24,31,-7,9999,-8
4,16,5,9,11,3,17,6,25,7,8,20,23,30,-8,9999,-9
4,15,5,9,11,3,17,6,25,7,7,19,22,29,-9,9999,-10
4,14,5,9,11,3,17,6,25,7,6,18,21,28,-10,9999,-11
4,13,5,9,11,3,17,6,25,7,5,17,20,27,-11,9999,-12
4,12,5,9,11,3,17,6,25,7,4,16,19,26,-12,9999,-13
4,11,5,9,11,3,17,6,25,7,3,15,18,25,-13,9999,-14
4,10,5,9,11,3,17,6,25,7,2,14,17,24,-14,9999,-15
5,10,5,9,11,3,17,6,25,7,1,13,16,23,-15,9999,-16
6,10,5,9,11,3,17,6,25,7,2,12,15,22,-16,9999,-17
7,10,5,9,11,3,17,6,25,7,3,11,14,21,-17,9999,-18
